Location ID,Country,Country description,Country ID,Forecast Type,Geo Latitude,Geo Longitude,Holding Cost Percentage,Intl/Dom Ind,Location Business Partner ID,Location,Location Region,Location Type,Location Validity,Order Timing,Replaced by Customer,Sales Area,Sales Divison,Sales Domain,Sales Region,Sales Region Code,State,State description,Demand State,Supplying Location
0000183293,US,USA,,S,,,,D,,BIG LOTS INC,CA,DIST,,SI,,Corporate Area,Corp Closeout Distrsd Division,Corporate,Corp Corporate Region,64,CA,California,SoCAL,1151
0000193788,US,USA,,S,,,,D,,E J GALLO WINERY  NH3,NH,DIST,,SI,,Northern Area,Dom2 New England Division,Domestic,Dom2 NorthEast Region,55,NH,New Hampshire,NH,1125
0000195114,0000205041,TRAVEL RETAIL,,S,,,,I,,GULF COAST MARITIME SUPPLY INC,TX,DIST,,SI,,Americas Area,Intl69  Travel Retail Div,International,Intl4 LACM Region,85,0000205041,TRAVEL RETAIL,,1159
0000197443,US,USA,,S,,,,D,,MONTGOMERY MUNICIPAL,NC,DIST,,SI,,Control Area,Dom5 Control East Division,Domestic,Dom5 Control Region,88,NC,North Carolina,NC,1123
0000202635,US,USA,,S,,,,D,,BEVERAGES   MORE,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,NorCAL,1151
0000203689,0000206015,SINGAPORE,,S,,,,I,,COLD STORAGE SINGAPORE  1983,,DIST,,SI,,Asia Area,Intl87  A O Asia Div,International,Intl5 Asia Region,84,,,,8009
0000209376,US,USA,,S,,,,D,,GALLO ESC RETAIL SALES,CA,DIST,,SI,,Corporate Area,Corp Closeout Distrsd Division,Corporate,Corp Corporate Region,64,CA,California,NorCAL,1138
0000212290,0000206001,HONG KONG,,S,,,,I,,NORTHEAST WINES   SPIRITS LTD,,DIST,,SI,,Asia Area,Intl78  Hong Kong,International,Intl5 Asia Region,84,,,,1159
0000218348,US,USA,,S,,,,D,,PREMIER BEVERAGE COMPANY LLC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,1123
0000220597,US,USA,,S,,,,D,,PREMIER BEV CO LLC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,8009
0000225778,0000206009,INDIA,,S,,,,I,,RADICO KHAITAN LTD,,DIST,,SI,,Asia Area,Intl87  A O Asia Div,International,Intl5 Asia Region,84,,,,8009
0000226524,US,USA,,S,,,,D,,TASTING ROOM CASH CUSTOMER,CA,DIST,,SI,,Corporate Area,Corp Tasting Room Division,Corporate,Corp Corporate Region,64,CA,California,SoCAL,8009
0000226788,US,USA,,S,,,,D,,TASTING ROOM WINE CLUB,CA,DIST,,SI,,Corporate Area,Corp Tasting Room Division,Corporate,Corp Corporate Region,64,CA,California,SoCAL,1140
0000228705,US,USA,,S,,,,D,,JOHNSON BROTHERS OF FLORIDA  INC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,8009
0000232450,US,USA,,S,,,,D,,LINCOLN COUNTY ABC BOARD  169,NC,DIST,,SI,,Control Area,Dom5 Control East Division,Domestic,Dom5 Control Region,88,NC,North Carolina,NC,1123
0000236550,0000205003,PUERTO RICO,,S,,,,I,,CC1 BEER DISTRIBUTORS INC,,DIST,,SI,,Americas Area,Intl60  Caribbean Div,International,Intl4 LACM Region,85,,,,1123
0000237087,US,USA,,S,,,,D,,SOUTHERN GLAZERS WINE   SPIRITS,WA,DIST,,SI,,Western Area,Dom1 Western Division,Domestic,Dom1 Western Region,23,WA,Washington,WA,8009
0000243559,US,USA,,S,,,,D,,COST PLUS WAREHOUSE,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,NorCAL,1151
0000244303,US,USA,,S,,,,D,,TASTING ROOM WINE CLUB TR2 LMM,CA,DIST,,SI,,Western Area,Dom1 California Division,Domestic,Dom1 Western Region,23,CA,California,NorCAL,1139
0000401985,US,USA,,S,,,,D,,MISSOURI BEVERAGE CO INC,MO,DIST,,SI,,Northern Area,Dom2 Heartland Division,Domestic,Dom2 MidWest Region,53,MO,Missouri,MO,8009
0000406079,US,USA,,S,,,,D,,MILTON S DISTRIBUTING CO INC,MA,DIST,,SI,,Northern Area,Dom2 New England Division,Domestic,Dom2 NorthEast Region,55,MA,Massachusetts,MA,1151
0000406945,0000205041,TRAVEL RETAIL,,S,,,,I,,DUTY FREE AIR   SHIP SUPPLY  DFASS,FL,DIST,,SI,,Americas Area,Intl69  Travel Retail Div,International,Intl4 LACM Region,85,0000205041,TRAVEL RETAIL,,8009
0000419176,US,USA,,S,,,,D,,JOHNSON BROTHERS OF FLORIDA  INC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,8009
0000419861,US,USA,,S,,,,D,,MANHATTAN BEER DISTRIBUTORS  LLC,NY,DIST,,SI,,Northern Area,Dom2 New York Division,Domestic,Dom2 NorthEast Region,55,NY,New York,MNY,1125
0000420022,0000200016,CZECH REPUBLIC,,S,,,,I,,TESCO STORES CR A S,,DIST,,SI,,Europe Area,Intl09  A O Continental Europe,International,Intl2 Cont Europe Region,24,,,,8009
0000421129,0000205010,JAMAICA,,S,,,,I,,J  WRAY   NEPHEW LIMITED,,DIST,,SI,,Americas Area,Intl60  Caribbean Div,International,Intl4 LACM Region,85,,,,8009
0000423342,0000205030,COLOMBIA,,S,,,,I,,ALMACENES EXITO S A,,DIST,,SI,,Americas Area,Intl66  South America Div,International,Intl4 LACM Region,85,,,,8009
0000423815,US,USA,,S,,,,D,,JOHNSON BROTHERS OF FLORIDA  INC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,8009
0000423817,US,USA,,S,,,,D,,JOHNSON BROTHERS OF FLORIDA  INC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,1123
0000423820,US,USA,,S,,,,D,,JOHNSON BROTHERS OF FLORIDA  INC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,1123
0000424328,US,USA,,S,,,,D,,PREMIER BEV CO LLC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,8009
0000424329,US,USA,,S,,,,D,,PREMIER BEV CO LLC,FL,DIST,,SI,,Eastern Area,Dom3 Florida Division,Domestic,Dom3 SouthEast Region,60,FL,Florida,FL,8009
0000425129,0000205041,TRAVEL RETAIL,,S,,,,I,,MILLET DUTY FREE INC,TX,DIST,,SI,,Americas Area,Intl69  Travel Retail Div,International,Intl4 LACM Region,85,0000205041,TRAVEL RETAIL,,1159
0000425490,US,USA,,S,,,,D,,MT HOLLY ABC BOARD 170,NC,DIST,,SI,,Control Area,Dom5 Control East Division,Domestic,Dom5 Control Region,88,NC,North Carolina,NC,1123
0000426195,US,USA,,S,,,,D,,SARATOGA EAGLE SALES   SERVICE INC,NY,DIST,,SI,,Northern Area,Dom2 New York Division,Domestic,Dom2 NorthEast Region,55,NY,New York,UNY,1125
0000426541,US,USA,,S,,,,D,,SOUTHERN GLAZER S WINE   SPIRITS,WA,DIST,,SI,,Western Area,Dom1 Western Division,Domestic,Dom1 Western Region,23,WA,Washington,WA,1151
0000426626,US,USA,,V,,,,D,,E J GALLO WINERY OREGON LCB,OR,DIST,,SI,,Western Area,Dom1 Western Division,Domestic,Dom1 Western Region,23,OR,Oregon,OR,
0000426855,US,USA,,S,,,,D,,CONNECTICUT DISTRIBUTORS INC,CT,DIST,,SI,,Northern Area,Dom2 New England Division,Domestic,Dom2 NorthEast Region,55,CT,Connecticut,CT,1122
0000426857,US,USA,,S,,,,D,,BEVERAGE DISTRIBUTORS CO LLC,CO,DIST,,SI,,Western Area,Dom1 Southern Division,Domestic,Dom1 Southern Region,38,CO,Colorado,CO,8009
